name,numerical_sigma,integral_result,integral_error,epsabs
J2321-0939,240.10177652730005,7446.749997604632,79468499.25630988,0.149
J1106+5228,222.0476680150076,6932.458428791891,67845472.50049542,0.149
J1143-0144,264.86799691252844,10395.782864153489,96436159.06787544,0.149
J0841+3824,230.10666804314695,8225.243472436376,72720543.15449068,0.149
J0044+0113,252.9254926066127,10113.812559777267,86285973.38963887,0.149
J1213+6708,233.43885389744077,8726.020022639736,74801215.3878686,0.149
J1451-0239,205.9983732260463,6851.809346528445,58240690.31962316,0.149
J1218+0830,235.9145621676687,9347.083790489398,76333487.75109702,0.149
J1134+6027,225.44141095703276,9089.80807816925,69635024.49553703,0.149
J2303+1422,269.21171781149405,13045.916692049645,99289706.73264335,0.149
J1531-0105,261.73240653315537,12526.091600049924,93826456.9628975,0.149
J1204+0358,235.97021714625538,10305.87918013199,76250707.92732957,0.149
J1016+3859,235.604069067321,10395.704121612902,76000688.99786128,0.149
J1153+4612,204.72013663936787,8115.558660494508,57353275.79747627,0.149
J2341+0000,243.75667184431995,11687.695115803797,81292717.67261522,0.149
J1403+0006,209.23688319494045,8677.626807853343,59891870.693022996,0.149
J0936+0913,226.02645022404982,10151.53035347923,69886689.0279857,0.149
J1023+4230,248.48203440877705,12299.414062240872,84459908.5572843,0.149
J0037-0942,265.58723602010036,14223.706113424321,96471814.55962095,0.149
J1402+6321,273.7018931917635,15427.27310545961,102427221.54710048,0.149
J0728+3835,238.69405121501234,11759.821358674553,77898574.02388965,0.149
J1627-0053,255.03824203703974,13485.845747067267,88926331.91746232,0.149
J1205+4910,265.46865675743226,14836.701166073177,96328927.01460034,0.149
J0808+4706,224.36108475587974,10687.600994697998,68798084.30116673,0.149
J0946+1006,264.03943552095075,14894.395567160365,95275926.33312698,0.149
J1142+1001,236.848440772098,11984.677515188901,76663148.04480174,0.149
J1251-0208,194.47930843758127,8113.466036888492,51196198.086472124,0.149
J0029-0055,202.32214392181947,8834.261497473384,55933856.547412984,0.149
J1636+4707,230.17615536022905,11456.944368578253,72393124.82304986,0.149
J2300+0022,279.6250554891617,16908.314115219127,106838763.8304558,0.149
J1250+0523,226.85757441691297,11216.70853347297,70313547.02054489,0.149
J0225-0454,266.17648606862656,10946.823377671726,97315235.31169404,0.149
J0822+2652,252.05103989725967,14084.435938672423,86778998.95294876,0.149
J1621+3931,265.1293074934614,15698.349131248451,96009223.98141757,0.149
J1630+4520,289.80087245601936,18857.13689526791,114701081.81047177,0.149
J0849-0251,209.48319668780795,7415.1180375644035,60181013.33576672,0.149
J1020+1122,284.5565679434822,19219.278874956595,109218513.62899655,0.149
J1436-0000,240.00545080644403,13733.524082811695,77696459.42612556,0.149
J0109+1500,228.0783624584283,12565.05513277222,9948932.678571537,0.149
J1416+5136,269.10907014017516,17615.448795474225,97682204.81756024,0.149
J1411+5651,200.52278717416533,9267.889330813528,54848594.51164537,0.149
J2221+0115,233.7076957903692,12133.390698412077,74605801.05636927,0.149
J0850-0347,186.85703116857349,5441.120969472186,47134681.125466794,0.149
J0330-0020,234.7591003535374,14295.09887484513,75141934.171964,0.149
J1542+1629,232.31210985687574,15341.108266508927,10321738.203056868,0.149
J0232-0408,203.51877960479192,7537.77132017154,56735027.1816666,0.149
J1525+3327,298.0247728661177,23214.096005239015,130514031.2378364,0.149
J2125+0411,255.23701769951086,18738.30483797528,12459381.947563725,0.149
J0855-0147,198.12326447604917,6309.025520552596,53367074.500132926,0.149
J1420+5258,229.6374451601707,10368.096055880354,72148437.67231375,0.149
J0219-0829,233.1844599271519,10275.966374181098,74437567.09419486,0.149
J1637+1439,201.12906155577886,11963.864624172236,7736755.907234818,0.149
J2203+0205,287.2408878806995,17346.817901662303,112779607.49940011,0.149
J1631+1854,300.94595729255394,27202.849789913074,133318334.93429783,0.149
J0855-0409,234.3503487568964,9286.01067254991,75316073.01500982,0.149
J0903+4116,273.5222225549862,20912.484381971593,101925767.52445866,0.149
J2222+0012,271.0850861552381,15929.836416274242,100409368.11078766,0.149
J0747+4448,203.7907268815806,12779.59666566967,7942885.133767189,0.149
J2303+0037,265.0485898536257,21965.75833395134,13435704.819674248,0.149
J1420+5630,242.66606009583603,12589.734994293236,80474732.32922201,0.149
Q0047-2808,234.88130293185299,12093.105499066172,75369801.573338,0.149
J0226-0420,264.56794389052715,13723.264021549972,95770913.375715,0.149
J0223-0534,257.0142851706591,12992.463470884477,90376121.93218225,0.149
J0157-0056,252.11133932593353,18833.82232205016,12156092.611308051,0.149
J0151+0049,198.7441549440497,12843.492260444144,52773591.80991012,0.149
J1545+2748,270.9242182984901,23937.593401407736,99004499.85085398,0.149
J1405+5243,256.9200324932854,14496.926403436963,90174896.2425059,0.149
J0830+5116,261.8350869455128,22462.66499479083,92473005.08522125,0.149
J0944-0147,219.24295455969641,15829.513709559486,64835159.538582355,0.149
J1601+2138,224.0923286555379,16583.286369592963,67735022.29762441,0.149
J1337+3620,311.6547863257321,32417.219449434244,142975140.5610777,0.149
J0214-0405,277.4462896123428,17637.045149539765,105103440.93103598,0.149
J1215+0047,319.05854341325,35205.210454521424,19469306.142109036,0.149
J0217-0513,270.2513629695266,18686.12974202098,99595165.47173345,0.149
J1406+5226,264.19002087696765,17478.068787237386,95200400.56565827,0.149
J0213-0743,340.244622087445,25159.26320335265,172309524.1203017,0.149
J0212-0555,260.5079291469656,15197.592548548784,92688179.05839945,0.149
J1359+5535,249.72791056936134,14461.936132051778,85139184.21523908,0.149
HST14176+5226,271.04241385979066,18736.258191157398,100182556.19685861,0.149
CFRS03.1077,274.1200643604976,20019.947600211166,102422370.75737365,0.149
J2321-0939,240.10889883735624,7447.191800658436,86574202.81956239,0.0149
J1106+5228,222.05382130870777,6932.842652992134,73911899.0323661,0.0149
J1143-0144,264.87491455548513,10396.325891276827,105059031.75833432,0.0149
J0841+3824,230.1123651999784,8225.650771212564,79222875.78602391,0.0149
J0044+0113,252.9254939354085,10113.812666047232,94001263.6719718,0.0149
J1213+6708,233.44444776092493,8726.438228510708,81489592.04018635,0.0149
J1451-0239,206.0032666256764,6852.134873754953,63448301.869536355,0.0149
J1218+0830,235.91994455194316,9347.510302276121,83158873.05505638,0.0149
J1134+6027,225.44623862487686,9090.197385917447,75861464.36844018,0.0149
J2303+1422,269.2174454943228,13046.471821436457,108167730.30371027,0.0149
J1531-0105,261.73788755630574,12526.616231430686,102215982.15659761,0.0149
J1204+0358,235.97509835956396,10306.305553557573,83068691.42233954,0.0149
J1016+3859,235.60888477359765,10396.129098731699,82796316.96134463,0.0149
J1153+4612,204.72418164190836,8115.879369343693,62481538.83836043,0.0149
J2341+0000,243.76141189683233,11688.14967425203,88561534.20629452,0.0149
J1403+0006,209.24092066896662,8677.961701303657,65247123.07372905,0.0149
J0936+0913,226.03080056634053,10151.921131255624,76135631.55465859,0.0149
J1023+4230,248.48680482535246,12299.886320865622,92011920.55976686,0.0149
J0037-0942,265.592271907714,14224.245519350601,105097875.29904425,0.0149
J1402+6321,273.7069826696386,15427.846850085461,111585787.06268632,0.0149
J0728+3835,238.6984713644177,11760.256900728551,84863902.01932213,0.0149
J1627-0053,255.042943376564,13486.342944064001,96877710.70638895,0.0149
J1205+4910,265.47347498247876,14837.239739739653,104942211.40726098,0.0149
J0808+4706,224.36512215137867,10687.985646612493,74949688.85059537,0.0149
J0946+1006,264.0441569916841,14894.92824578372,103795056.30266578,0.0149
J1142+1001,236.85267605708185,11985.106135097722,83518009.99370709,0.0149
J1251-0208,194.4827717751819,8113.755012846152,56307020.54850646,0.0149
J0029-0055,202.32572489556267,8834.57422190198,60935201.71277138,0.0149
J1636+4707,230.18022106544387,11457.34911050106,78866181.16451247,0.0149
J2300+0022,279.63000369313244,16908.912534607305,116391788.91974658,0.0149
J1250+0523,226.8615497739222,11217.10165071136,76600657.1913627,0.0149
J0225-0454,266.1831156508052,10947.368683307286,106016710.88983953,0.0149
J0822+2652,252.05538097725443,14084.921095882153,94538373.21153659,0.0149
J1621+3931,265.1338400491989,15698.88588255147,104593922.00804932,0.0149
J1630+4520,289.80580902480386,18857.77933878737,124957118.780227,0.0149
J0849-0251,209.48794661137381,7415.454309339696,65562119.53179103,0.0149
J1020+1122,284.55656874673224,19219.278983461463,118984324.85789564,0.0149
J1436-0000,240.00545232936634,13733.524257100153,84643715.25900587,0.0149
J0109+1500,228.07836343753857,12565.055240652464,58795226.378906,0.0149
J1416+5136,269.10906983473296,17615.448755486712,106416492.99541143,0.0149
J1411+5651,200.526107402663,9268.19624620662,59806498.3044328,0.0149
J2221+0115,233.7117127797704,12133.807801670422,81276704.60705304,0.0149
J0850-0347,186.8616387392868,5441.389310016456,52237934.81283293,0.0149
J0330-0020,234.76254958631338,14295.518943636727,81860776.23833871,0.0149
J1542+1629,232.31211032447385,15341.10832826613,60998329.64052225,0.0149
J0232-0408,203.52306212028728,7538.088548509602,61808009.31677735,0.0149
J1525+3327,298.02477348345485,23214.096101411713,130514031.2378364,0.0149
J2125+0411,255.2370173544602,18738.304787311277,73631148.93871932,0.0149
J0855-0147,198.12799345346653,6309.326702701576,58694611.61492734,0.0149
J1420+5258,229.64191280214055,10368.499486528575,78599615.23964947,0.0149
J0219-0829,233.1891826088518,10276.382616410958,81093427.96895155,0.0149
J1637+1439,201.12906144240887,11963.864610684943,45721862.91661684,0.0149
J2203+0205,287.2461180613698,17347.449621041418,122863835.188991,0.0149
J1631+1854,300.9459577779919,27202.849877671666,133085200.1168053,0.0149
J0855-0409,234.35565906403122,9286.43151363406,82050485.82541059,0.0149
J0903+4116,273.52594856467056,20913.054139334126,111039495.31997587,0.0149
J2222+0012,271.0898626479758,15930.397785542997,109387506.55354585,0.0149
J0747+4448,203.79070174024747,12779.593512473424,7980269.67924916,0.0149
J2303+0037,265.0485903424126,21965.75841496724,79400891.52968799,0.0149
J1420+5630,242.67039623173056,12590.184923628422,87670408.40767547,0.0149
Q0047-2808,234.88539505195166,12093.5268767623,82109018.49638009,0.0149
