z_L,z_S,sigma_v,sigma_vErr
0.28,0.61,,
0.67,0.98,,
0.24145,1.405,242.58,21.736
0.5734999999999999,0.88,235.30,21.442
0.28,0.61,,
0.389,1.13,249.18,25.227
0.83,1.23,,
0.92,1.98,,
0.466,3.76,,
0.588484,1.3071039999999998,"411.79
",70.334
0.4255,0.92,251.16,27.464
0.6,1.15,,
0.484,1.95,"291.16
",46.011
0.445,2.14,389.18,39.164
0.79,0.87,,
0.36,1.47,,
0.633,1.82,327.51,87.712
0.37,0.91,,
0.8,1.58,,
0.11,1.38,,
0.82,1.43,,
0.76,2.43,,
0.71,0.86,,
0.39449999999999996,2.11,415.09,57.492
1.1,2.12,,
0.4805,1.21,275.78,29.814
0.7,0.96,,
0.4305,1.52,268.30,27.256
0.518007,1.15460305,272.15,47.336
0.55795,2.1394,219.28,29.806
